id_perevozki,data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,kategorija_perevozki,rasstoyanie_km,gos_nomer_avto,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,id_voditelya,fio_voditelya,kompaniya_perevozchik,punkt_zagruzki,gorod_zagruzki,region_zagruzki,punkt_razgruzki,gorod_razgruzki,region_razgruzki,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,otklonenie_ot_plana_chas,tarif_summa,sebestoimost_perevozki,pribyl,tonnazh_gruza_tonn,obem_gruza_m3,protsent_zagruzki_tonn,protsent_zagruzki_obem,kolichestvo_pozitsiy,kommentariy_perevozki,nalichie_dokumentov
P-000998,2025-07-13 23:19:03,Проблемная,НПО «Калашников-Шестаков»,ЗАО «Гусев»,Продукты питания,Междугородняя,4701.29,Т402РУ77,КАМАЗ 5490,Цистерна,5.0,VOD-4168,Варфоломей Архипович Беляков,Собственный парк,"г. Кунгур, алл. Демьяна Бедного, д. 39 к. 2/7, 548023",Санкт-Петербург,Ленинградская область,"к. Таштагол, ш. Ермака, д. 695, 234389",Владивосток,Приморский край,2025-07-06 02:09:27,2025-08-20 05:39:37,2025-08-23 14:05:58,80.44,662994.3,547819.52,115174.78,2.94,8.67,0.59,0.78,6,,Ожидание
P-000999,2025-07-01 07:31:39,В пути,Боброва Лтд,Маркова Групп,Оборудование,Междугородняя,3813.48,К818НС77,Scania R-series,Фургон,20.0,VOD-8142,Петухова Лариса Александровна,Субподрядчик,"ст. Приморско-Ахтарск, бул. Осипенко, д. 1/6, 400805",Санкт-Петербург,Ленинградская область,"ст. Ачинск, наб. Песчаная, д. 55, 843459",Калининград,Калининградская область,2025-07-17 06:53:59,2025-07-20 19:06:37,2025-08-18 09:39:43,686.55,550060.79,444421.86,105638.93,12.21,35.0,0.61,0.66,7,,Проблема
P-001000,2025-08-25 06:20:53,Доставлена,ООО «Константинов»,Захаров и партнеры,Стройматериалы,Междугородняя,2319.25,М492ОК77,КАМАЗ 5490,Рефрижератор,25.0,VOD-2416,Селиверст Эдгардович Новиков,Собственный парк,"к. Люберцы, ш. Автомобилистов, д. 9/9, 429937",Нижний Новгород,Нижегородская область,"к. Нефтеюганск, пр. Троицкий, д. 4 к. 1/3, 493980",Воронеж,Воронежская область,2025-07-03 23:59:32,2025-08-14 06:05:40,2025-08-10 22:19:48,-79.76,319034.32,270779.7,48254.62,15.61,40.58,0.62,0.95,53,,Ожидание
P-001001,2025-07-17 02:17:23,Доставлена,Иркутская нефтяная компания,Филиппова Групп,ТНП,Междугородняя,4039.73,Т917АЕ77,Volvo FH,Тент,20.0,VOD-6954,Рубен Виленович Наумов,Субподрядчик,"д. Саров (Морд.), алл. Л.Толстого, д. 6/4, 809576",Казань,Республика Татарстан,"д. Камень-на-Оби, бул. Ветеранов, д. 1, 472705",Уфа,Республика Башкортостан,2025-07-28 06:20:59,2025-08-08 21:53:40,2025-08-02 00:01:32,-165.87,549020.91,472251.71,76769.2,14.22,42.37,0.71,0.64,37,,Полный пакет
P-001002,2025-07-16 09:53:31,Запланирована,ЗАО «Соколова Муравьева»,Белова и партнеры,Сырье,Междугородняя,1003.19,М171РА77,КАМАЗ 5490,Тент,20.0,VOD-8048,Людмила Робертовна Родионова,Собственный парк,"с. Рыбинск, пер. Есенина, д. 481 стр. 64, 242828",Владивосток,Приморский край,"с. Токма, наб. Ильича, д. 1/6 к. 500, 074035",Нижний Новгород,Нижегородская область,2025-08-06 09:05:31,2025-08-25 00:11:54,2025-08-14 08:24:30,-255.79,127960.74,112042.86,15917.88,10.52,31.91,0.53,0.85,85,,Проблема
P-001003,2025-08-21 07:25:22,Запланирована,РАО «Мамонтов»,АО «Быкова Крюков»,Продукты питания,Междугородняя,4594.66,М169УХ77,MAN TGS,Цистерна,20.0,VOD-8126,Дроздова Анжелика Тимофеевна,Субподрядчик,"с. Краснокамск, пер. Садовый, д. 1 к. 537, 932872",Воронеж,Воронежская область,"с. Ярославль, ул. Коминтерна, д. 9, 067332",Красноярск,Красноярский край,2025-07-02 14:45:27,2025-07-23 08:58:14,2025-07-25 23:10:50,62.21,493217.08,315321.99,177895.09,15.74,45.15,0.79,0.88,81,,Проблема
P-001004,2025-08-04 19:01:13,В пути,ООО «Калинина-Никитин»,АльфаСтрахование,Сырье,Международная,3075.31,У266РВ77,ГАЗель Next,Тент,5.0,VOD-7697,София Богдановна Большакова,Субподрядчик,"п. Новосибирск, ш. Орджоникидзе, д. 4, 455736",Ростов-на-Дону,Ростовская область,"п. Гагарин, пр. Прудный, д. 369 к. 6, 157701",Хабаровск,Хабаровский край,2025-08-10 16:13:56,2025-08-12 13:53:26,2025-08-23 18:41:19,268.8,457869.61,396436.73,61432.88,4.04,11.45,0.81,0.88,4,,Ожидание
P-001005,2025-07-13 00:01:48,Доставлена,АО «Трофимова Кузьмин»,ЗАО «Шарова»,Сырье,Международная,1624.87,М239ХТ77,КАМАЗ 5490,Цистерна,25.0,VOD-8147,Анна Евгеньевна Федосеева,Собственный парк,"с. Любань, ш. Маяковского, д. 84 к. 4/4, 977324",Москва,Московская область,"д. Юрюзань, пер. Покровский, д. 38, 138123",Хабаровск,Хабаровский край,2025-08-01 17:40:22,2025-08-04 19:41:43,2025-08-26 03:53:24,512.19,230364.42,153419.15,76945.27,16.92,47.33,0.68,0.85,3,,Ожидание
P-001006,2025-08-23 17:52:19,В пути,Нортгаз,ЗАО «Логинова-Дмитриева»,Опасный груз,Междугородняя,3701.99,А111ЕТ77,Scania R-series,Рефрижератор,5.0,VOD-6824,Исидор Афанасьевич Панов,Собственный парк,"ст. Чита, алл. Марта 8, д. 64, 483628",Волгоград,Волгоградская область,"п. Кемерово, ул. Овражная, д. 855 к. 75, 638743",Новосибирск,Новосибирская область,2025-08-11 07:14:18,2025-08-29 19:58:53,2025-08-03 02:34:36,-641.4,438731.64,366778.18,71953.46,4.22,11.57,0.84,0.95,29,,Ожидание
P-001007,2025-08-23 18:41:01,Доставлена,"РАО «Родионов, Лазарев и Давыдов»",БСС,Стройматериалы,Междугородняя,1367.89,О879НМ77,Scania R-series,Рефрижератор,25.0,VOD-3466,Исаева Елена Ниловна,Субподрядчик,"п. Стрежевой, алл. Красина, д. 6/9, 851758",Красноярск,Красноярский край,"клх Бузулук, наб. Народная, д. 8 к. 1/2, 601013",Челябинск,Челябинская область,2025-07-14 18:25:45,2025-07-25 05:02:57,2025-07-05 19:52:38,-465.17,137346.53,82536.56,54809.97,18.62,55.02,0.74,0.92,19,,Полный пакет
P-001008,2025-08-24 17:31:40,Доставлена,"НПО «Цветков, Костин и Орлов»",ООО «Давыдов Григорьев»,Оборудование,Междугородняя,1476.01,А955ОО77,MAN TGS,Цистерна,20.0,VOD-5965,Олег Артурович Федоров,Собственный парк,"клх Нягань, ул. Калужская, д. 917, 634502",Уфа,Республика Башкортостан,"д. Улан-Удэ, ш. Главное, д. 94 стр. 4/2, 351953",Самара,Самарская область,2025-07-31 07:44:48,2025-08-11 14:56:44,2025-08-16 20:49:34,125.88,157460.43,97774.67,59685.76,13.53,42.55,0.68,0.6,23,,Проблема
P-001009,2025-07-19 20:56:02,Доставлена,ОАО «Беспалова»,ЗАО «Беляков»,Опасный груз,Международная,4225.82,С647ОУ77,КАМАЗ 5490,Фургон,20.0,VOD-8357,Ильина Вероника Ниловна,Субподрядчик,"к. Мезень, ш. Центральное, д. 8 к. 44, 053611",Волгоград,Волгоградская область,"с. Губкин, наб. Серафимовича, д. 2/6 стр. 288, 536439",Красноярск,Красноярский край,2025-07-19 10:49:04,2025-08-07 09:18:29,2025-08-10 17:55:31,80.62,488162.82,366882.29,121280.53,18.29,55.34,0.91,0.6,26,,Полный пакет
P-001010,2025-08-22 09:29:26,Доставлена,"НПО «Сорокина, Жукова и Горшков»",Михеева и партнеры,Стройматериалы,Междугородняя,3163.27,К756МН77,Scania R-series,Цистерна,25.0,VOD-2145,Вацлав Глебович Рогов,Собственный парк,"г. Екатеринбург, пр. Ставропольский, д. 4/7 к. 8/4, 968670",Москва,Московская область,"к. Мокшан, наб. Репина, д. 8 стр. 286, 869895",Челябинск,Челябинская область,2025-07-09 13:37:50,2025-08-26 19:12:02,2025-08-24 15:46:07,-51.43,408752.78,266822.53,141930.25,21.44,58.3,0.86,0.92,19,,Проблема
P-001011,2025-07-21 19:34:05,Доставлена,ЗАО «Романова»,ООО «Шашков-Гущин»,ТНП,Междугородняя,3022.69,О431АВ77,MAN TGS,Тент,25.0,VOD-3893,Клавдий Антонович Шашков,Субподрядчик,"ст. Йошкар-Ола, ул. Коммунистическая, д. 11 стр. 1, 827676",Красноярск,Красноярский край,"с. Дубна, ул. Запорожская, д. 459 стр. 697, 152113",Мурманск,Мурманская область,2025-07-28 11:23:09,2025-08-16 14:53:43,2025-07-19 17:22:56,-669.51,347386.31,273388.83,73997.48,17.69,53.9,0.71,0.98,74,,Проблема
P-001012,2025-07-27 11:22:57,Доставлена,ООО «Ковалева Назаров»,РАО «Степанов Быкова»,Опасный груз,Междугородняя,551.88,М274ЕО77,КАМАЗ 5490,Рефрижератор,20.0,VOD-5964,Гордеева Нонна Дмитриевна,Собственный парк,"п. Невельск, пер. Высоковольтный, д. 933 стр. 8/6, 148296",Челябинск,Челябинская область,"п. Шаховская, бул. Алтайский, д. 12, 279174",Самара,Самарская область,2025-07-07 17:21:09,2025-08-22 09:37:55,2025-07-16 19:38:04,-878.0,82024.15,60478.42,21545.73,14.89,38.83,0.74,0.69,95,,Полный пакет
P-001013,2025-07-09 02:20:12,Доставлена,Комаров Групп,ЗАО «Котова Галкина»,Сырье,Международная,1573.91,С806МК77,Scania R-series,Бортовой,10.0,VOD-9879,Тихон Арсеньевич Субботин,Собственный парк,"к. Витим, ш. Семашко, д. 69 к. 4/7, 448342",Челябинск,Челябинская область,"ст. Шелехов, алл. Леонова, д. 57 стр. 8/3, 991234",Сочи,Краснодарский край,2025-07-12 14:33:29,2025-07-31 04:45:00,2025-07-27 11:28:34,-89.27,201697.44,154965.16,46732.28,6.08,16.13,0.61,0.79,50,,Проблема
P-001014,2025-07-01 13:40:16,Доставлена,Никонова Инкорпорэйтед,ЗАО «Бирюков Субботин»,Оборудование,Междугородняя,4433.89,О856ВЕ77,Volvo FH,Рефрижератор,25.0,VOD-2216,Федотов Демьян Марсович,Собственный парк,"д. Ульяновск, ш. Кочубея, д. 596, 468186",Уфа,Республика Башкортостан,"п. Бугуруслан, пер. Северный, д. 45 стр. 9/4, 549945",Москва,Московская область,2025-07-22 22:13:44,2025-07-30 18:04:56,2025-08-27 17:40:49,671.6,451992.96,362033.77,89959.19,24.41,84.87,0.98,0.64,15,,Полный пакет
P-001015,2025-08-28 14:21:38,Доставлена,РАО «Ларионова»,Объединенные кондитеры,Стройматериалы,Междугородняя,1586.04,В882РУ77,Volvo FH,Бортовой,5.0,VOD-5791,Панфилова Марина Ждановна,Собственный парк,"клх Кунгур, наб. Машиностроителей, д. 2 к. 415, 183701",Санкт-Петербург,Ленинградская область,"к. Пышма, ш. Николаева, д. 8 стр. 1, 702620",Нижний Новгород,Нижегородская область,2025-07-29 17:02:48,2025-08-08 11:30:27,2025-07-05 02:47:44,-824.71,192683.38,129528.51,63154.87,4.5,12.92,0.9,0.87,70,,Ожидание
P-001016,2025-07-23 17:22:33,Доставлена,АО «Воронцова»,РАО «Куликов»,Стройматериалы,Междугородняя,760.37,У666ОТ77,Scania R-series,Фургон,25.0,VOD-1686,Ирина Владимировна Константинова,Собственный парк,"ст. Воткинск, наб. Камская, д. 10, 489628",Пермь,Пермский край,"д. Черемхово, ш. Энергетиков, д. 5, 805308",Нижний Новгород,Нижегородская область,2025-07-24 06:13:29,2025-08-21 16:34:49,2025-08-17 19:06:22,-93.47,92647.0,59694.48,32952.52,15.88,55.4,0.64,0.63,48,,Ожидание
P-001017,2025-08-27 21:00:10,Доставлена,"НПО «Давыдова, Мартынова и Колобов»",Нокиан Шина (Nokian),Опасный груз,Международная,1918.85,С746КМ77,Volvo FH,Бортовой,10.0,VOD-1448,Дмитрий Антипович Лапин,Собственный парк,"ст. Яр-Сале, ш. Моховое, д. 6/2, 613020",Казань,Республика Татарстан,"г. Южно-Сахалинск, пр. Никитина, д. 2/4 стр. 149, 971759",Воронеж,Воронежская область,2025-07-18 07:06:41,2025-08-23 12:05:49,2025-08-08 02:59:10,-369.11,205412.89,150703.39,54709.5,7.26,22.71,0.73,0.9,39,,Проблема
P-001018,2025-08-16 05:54:22,Доставлена,Ковалева и партнеры,ОАО «Куликова Шилов»,Оборудование,Международная,1367.87,Н454РО77,КАМАЗ 5490,Бортовой,20.0,VOD-7870,Пестов Дорофей Богданович,Субподрядчик,"с. Гаврилов-Ям, пр. 50 лет Октября, д. 4 стр. 212, 165334",Новосибирск,Новосибирская область,"клх Зеленоград, наб. Щербакова, д. 4 стр. 4/7, 837955",Самара,Самарская область,2025-07-02 10:47:34,2025-07-07 12:35:29,2025-08-24 06:52:59,1146.29,168173.48,133643.49,34529.99,15.36,44.07,0.77,0.81,75,,Ожидание
P-001019,2025-08-25 13:09:02,Отменена,ОАО «Шарапова-Бобров»,Билла (Rewe),ТНП,Международная,3225.89,Х341РМ77,ГАЗель Next,Бортовой,20.0,VOD-1061,Кабанов Виссарион Демьянович,Собственный парк,"ст. Ачинск, бул. Брянский, д. 37 к. 1/3, 385378",Ростов-на-Дону,Ростовская область,"ст. Грозный, пр. Брянский, д. 610 к. 22, 632685",Новосибирск,Новосибирская область,2025-07-04 22:38:14,2025-08-17 06:05:08,2025-08-07 13:21:01,-232.74,409538.71,261410.81,148127.9,13.35,44.92,0.67,0.9,61,,Ожидание
P-001020,2025-08-26 20:59:57,Проблемная,ОАО «Попова Воробьев»,"ООО «Сорокина, Денисова и Никитин»",ТНП,Междугородняя,1628.7,Х114АО77,MAN TGS,Тент,25.0,VOD-3782,Казаков Михаил Архипович,Собственный парк,"клх Вуктыл, пер. Степана Разина, д. 3, 195306",Новосибирск,Новосибирская область,"д. Юрьев-Польский, пр. Веселый, д. 73 стр. 79, 492864",Воронеж,Воронежская область,2025-08-17 22:38:01,2025-08-18 17:46:23,2025-08-22 13:20:55,91.58,231691.71,170664.73,61026.98,18.99,64.07,0.76,0.66,66,,Ожидание
P-001021,2025-07-21 13:13:04,Доставлена,Т2 РТК Холдинг,Петухов Инк,Продукты питания,Междугородняя,3019.82,Е540НВ77,ГАЗель Next,Тент,20.0,VOD-4230,Клавдия Геннадиевна Гуляева,Собственный парк,"п. Токсово, ул. Труда, д. 84, 575583",Санкт-Петербург,Ленинградская область,"п. Нягань, ул. Прудовая, д. 8 к. 786, 763509",Нижний Новгород,Нижегородская область,2025-07-18 00:50:48,2025-08-21 05:35:12,2025-07-06 22:37:07,-1086.97,305701.09,218762.09,86939.0,10.33,32.33,0.52,0.96,48,,Полный пакет
P-001022,2025-07-02 19:23:06,В пути,ООО «Петухова Хохлова»,НПО «Лапин Никитин»,Стройматериалы,Междугородняя,4100.94,У656ВО77,MAN TGS,Бортовой,5.0,VOD-9818,Наталья Федоровна Тихонова,Субподрядчик,"с. Витим, ул. Володарского, д. 7 к. 1, 528642",Сочи,Краснодарский край,"г. Кулунда, пр. Магистральный, д. 4/3, 176595",Екатеринбург,Свердловская область,2025-07-19 20:54:58,2025-08-26 20:55:26,2025-08-08 12:33:53,-440.36,421394.76,324341.66,97053.1,2.73,7.7,0.55,0.87,50,,Ожидание
P-001023,2025-08-28 22:18:42,Доставлена,ГК Автомир,ИП «Максимов»,Опасный груз,Междугородняя,2421.69,Е231АУ77,MAN TGS,Тент,10.0,VOD-7636,Феврония Харитоновна Устинова,Собственный парк,"ст. Верещагино (Перм.), ш. Набережное, д. 2/7, 245450",Калининград,Калининградская область,"ст. Галич, бул. Азовский, д. 1/1 стр. 324, 107564",Красноярск,Красноярский край,2025-07-11 02:35:37,2025-07-27 01:25:43,2025-08-10 10:28:30,345.05,289128.56,175846.56,113282.0,7.23,24.31,0.72,0.66,42,,Полный пакет
P-001024,2025-07-25 04:39:21,Доставлена,ЗАО «Емельянов-Тарасова»,ОАО «Комиссаров Шаров»,Оборудование,Междугородняя,1680.59,Н909СР77,КАМАЗ 5490,Фургон,25.0,VOD-4987,Панфил Антонович Фролов,Субподрядчик,"ст. Голицыно, наб. Казачья, д. 115, 486546",Челябинск,Челябинская область,"д. Гаврилов-Ям, ул. Ярославская, д. 154, 450262",Сочи,Краснодарский край,2025-07-12 19:42:28,2025-07-14 02:32:59,2025-07-16 07:28:33,52.93,249701.46,182803.43,66898.03,13.89,37.96,0.56,0.76,36,,Ожидание
P-001025,2025-07-29 13:25:17,В пути,Максимов Инк,ОАО «Меркушев-Виноградов»,Стройматериалы,Междугородняя,2869.5,А581РО77,Scania R-series,Тент,10.0,VOD-9464,Наум Еремеевич Комаров,Собственный парк,"ст. Бологое, ш. Парижской Коммуны, д. 351 к. 20, 315221",Воронеж,Воронежская область,"г. Гусь-Хрустальный, наб. Гаражная, д. 8/9 стр. 760, 067971",Челябинск,Челябинская область,2025-08-11 07:34:25,2025-08-11 21:10:26,2025-08-15 06:15:25,81.08,377615.0,275127.01,102487.99,8.9,30.64,0.89,0.84,29,,Полный пакет
P-001026,2025-07-01 22:52:58,Запланирована,Комаров Инкорпорэйтед,"НПО «Симонов, Ермакова и Капустин»",Сырье,Международная,4663.06,А630ВК77,Volvo FH,Цистерна,20.0,VOD-4294,Галина Рубеновна Коновалова,Собственный парк,"ст. Майкоп, бул. Раздольный, д. 68, 694271",Нижний Новгород,Нижегородская область,"клх Каневская, наб. Тургенева, д. 9/7, 236097",Воронеж,Воронежская область,2025-08-20 12:18:00,2025-08-21 19:15:11,2025-08-25 15:48:35,92.56,542622.06,412505.14,130116.92,11.01,31.61,0.55,0.93,44,,Ожидание
P-001027,2025-07-08 06:48:55,В пути,НПО «Орехова»,Громова Лимитед,Стройматериалы,Международная,3555.95,М424ВС77,ГАЗель Next,Фургон,5.0,VOD-9760,г-жа Фролова Фёкла Станиславовна,Субподрядчик,"ст. Забайкальск, ул. Кооперативная, д. 468 стр. 79, 529143",Нижний Новгород,Нижегородская область,"с. Канск, пр. Первомайский, д. 6, 306854",Уфа,Республика Башкортостан,2025-08-17 20:52:27,2025-08-27 07:22:50,2025-07-09 11:29:05,-1171.9,483627.73,419727.16,63900.57,3.53,10.95,0.71,0.91,85,,Полный пакет
P-001028,2025-07-30 09:14:53,Доставлена,Ситникова Лимитед,Группа РТК,Стройматериалы,Междугородняя,808.7,Е973АЕ77,Volvo FH,Тент,25.0,VOD-8082,Лукия Степановна Лыткина,Собственный парк,"с. Ясный (Оренб.), пер. Маркса Карла, д. 5/1 к. 9, 557958",Самара,Самарская область,"к. Лысьва, ул. Брянская, д. 7 стр. 3/7, 268598",Мурманск,Мурманская область,2025-07-03 01:10:26,2025-07-10 17:07:31,2025-08-22 03:23:59,1018.27,95560.51,81027.59,14532.92,20.66,56.35,0.83,0.93,70,,Ожидание
P-001029,2025-07-12 14:27:18,Доставлена,ЗАО «Орехова-Мельников»,Корнилова и партнеры,Стройматериалы,Междугородняя,3769.86,М774ВМ77,КАМАЗ 5490,Бортовой,20.0,VOD-1189,Панов Аполлинарий Брониславович,Собственный парк,"клх Бугуруслан, пер. Камский, д. 463, 865603",Екатеринбург,Свердловская область,"клх Петушки, ш. Новое, д. 847 к. 76, 724375",Волгоград,Волгоградская область,2025-07-18 04:55:40,2025-08-18 03:11:44,2025-08-09 18:12:54,-200.98,543646.92,333203.13,210443.79,18.16,56.3,0.91,0.81,100,,Проблема
P-001030,2025-08-08 09:19:03,Запланирована,ОАО «Константинова»,НПО «Степанова-Кудрявцев»,Оборудование,Междугородняя,2479.51,Т999НН77,ГАЗель Next,Бортовой,5.0,VOD-7695,Гусев Ладимир Вячеславович,Собственный парк,"ст. Заводоуковск, ш. Олега Кошевого, д. 7, 794814",Уфа,Республика Башкортостан,"г. Ахтубинск, ул. Почтовая, д. 5 к. 795, 354265",Воронеж,Воронежская область,2025-08-26 06:25:32,2025-08-27 14:46:21,2025-07-14 02:50:21,-1067.93,310627.52,191171.33,119456.19,3.78,12.43,0.76,0.92,45,,Полный пакет
P-001031,2025-08-21 19:28:50,Доставлена,ЗАО «Назаров-Стрелков»,НПО «Селиверстов»,Опасный груз,Междугородняя,4452.75,Н548НМ77,MAN TGS,Цистерна,10.0,VOD-4051,Ксения Мироновна Лобанова,Субподрядчик,"г. Каспийск, бул. Войкова, д. 6 к. 653, 702333",Сочи,Краснодарский край,"клх Змеиногорск, ул. Карьерная, д. 4 стр. 2, 561910",Самара,Самарская область,2025-07-07 03:05:39,2025-08-12 07:04:12,2025-08-02 10:14:14,-236.83,572532.66,408700.59,163832.07,8.38,22.33,0.84,0.66,63,,Ожидание
P-001032,2025-07-05 15:11:19,Доставлена,Таркетт Рус (Tarkett),ФосАгро,Опасный груз,Междугородняя,1268.91,О879УВ77,Scania R-series,Бортовой,5.0,VOD-8909,Блохина Глафира Эдуардовна,Собственный парк,"г. Великие Луки, ш. Снежное, д. 3 стр. 894, 367773",Сочи,Краснодарский край,"п. Краснотурьинск, алл. Энтузиастов, д. 9/6, 215002",Самара,Самарская область,2025-07-23 13:30:42,2025-08-05 22:42:53,2025-07-21 21:25:21,-361.29,166705.7,126410.94,40294.76,3.43,11.92,0.69,0.64,7,,Ожидание
P-001033,2025-08-18 21:06:25,Доставлена,КРКА Фарма (KRKA),НПО «Наумов-Вишняков»,ТНП,Междугородняя,2376.51,С644РТ77,ГАЗель Next,Тент,10.0,VOD-7677,Князева Виктория Артемовна,Собственный парк,"д. Братск, ул. Подлесная, д. 2 к. 53, 342042",Уфа,Республика Башкортостан,"к. Аргаяш, пер. 50 лет Октября, д. 665 к. 87, 632695",Самара,Самарская область,2025-07-08 16:06:22,2025-08-14 01:33:05,2025-07-15 01:03:41,-720.49,289276.24,194414.1,94862.14,8.01,23.84,0.8,0.93,60,,Проблема
P-001034,2025-07-26 15:00:50,Запланирована,РАО «Дмитриева Гаврилов»,РАО «Орлов»,Оборудование,Междугородняя,3588.36,О931НМ77,Scania R-series,Фургон,20.0,VOD-5250,Мечислав Елизарович Егоров,Субподрядчик,"с. Новомичуринск, бул. Киевский, д. 1/4 к. 5/5, 080995",Санкт-Петербург,Ленинградская область,"к. Губкин, бул. Лазурный, д. 2/8 стр. 7, 782708",Калининград,Калининградская область,2025-07-10 13:02:06,2025-08-06 01:16:26,2025-08-22 14:40:03,397.39,358852.88,220726.03,138126.85,15.36,46.77,0.77,0.76,60,,Полный пакет
P-001035,2025-07-19 15:17:21,В пути,НПО «Белякова Некрасова»,ОАО «Красильникова Веселов»,Сырье,Международная,3339.26,С745ВВ77,Volvo FH,Рефрижератор,20.0,VOD-1492,Порфирий Юльевич Ковалев,Субподрядчик,"г. Кирово-Чепецк, ул. Пожарского, д. 251 стр. 9, 116870",Хабаровск,Хабаровский край,"г. Кропоткин (Краснод.), бул. Воровского, д. 6 к. 8, 326426",Омск,Омская область,2025-07-12 03:19:02,2025-08-28 00:21:07,2025-08-26 21:35:16,-26.76,366840.67,233226.9,133613.77,19.67,49.39,0.98,0.79,7,,Ожидание
P-001036,2025-07-22 08:18:15,Доставлена,Данилов Инкорпорэйтед,ИП «Игнатьев-Суханов»,Продукты питания,Междугородняя,2105.0,У207АХ77,Scania R-series,Тент,20.0,VOD-4877,Якушева Валентина Артемовна,Собственный парк,"клх Шереметьево, наб. Герцена, д. 123 к. 77, 653893",Санкт-Петербург,Ленинградская область,"г. Урус-Мартан, бул. Литейный, д. 7 стр. 2, 595732",Калининград,Калининградская область,2025-08-05 10:12:04,2025-08-08 17:49:20,2025-07-11 09:49:48,-679.99,240483.76,190167.91,50315.85,11.93,35.85,0.6,0.99,1,,Проблема
P-001037,2025-07-27 22:36:24,Доставлена,"ОАО «Титов, Пахомова и Овчинников»",РАО «Кононова»,Стройматериалы,Междугородняя,2038.88,В119ЕН77,Volvo FH,Фургон,20.0,VOD-8903,Коновалова Лидия Руслановна,Собственный парк,"д. Мезень, бул. Тимирязева, д. 11, 487761",Мурманск,Мурманская область,"г. Нижнеудинск, бул. Крупской, д. 7 к. 171, 243434",Воронеж,Воронежская область,2025-07-23 14:23:20,2025-08-24 16:48:16,2025-07-21 00:26:45,-832.36,243774.6,184995.02,58779.58,12.05,35.43,0.6,0.74,37,,Ожидание
P-001038,2025-07-26 07:16:24,Доставлена,АО «Фадеев Хохлова»,РАО «Воронцова Мясников»,Сырье,Междугородняя,3807.94,С546ТТ77,ГАЗель Next,Тент,5.0,VOD-4624,Варвара Ждановна Абрамова,Субподрядчик,"г. Щелково, алл. Металлистов, д. 2/5, 370837",Пермь,Пермский край,"клх Хоста, наб. Петровская, д. 5 стр. 9/5, 751174",Красноярск,Красноярский край,2025-07-05 07:42:14,2025-08-10 01:40:24,2025-07-07 03:26:38,-814.23,416117.97,313092.38,103025.59,3.52,10.65,0.7,0.99,90,,Ожидание
P-001039,2025-08-21 23:11:08,Доставлена,"ООО «Третьякова, Поляков и Фокин»",Южуралзолото ГК,ТНП,Междугородняя,2906.58,Е627УУ77,Scania R-series,Тент,10.0,VOD-4604,Мухин Степан Филиппович,Субподрядчик,"к. Озеры, алл. Калинина, д. 3/3 стр. 4, 512306",Петрозаводск,Республика Карелия,"к. Галич, бул. Урицкого, д. 832, 960774",Красноярск,Красноярский край,2025-07-11 21:06:12,2025-08-21 00:28:14,2025-07-19 07:03:07,-785.42,292988.19,205618.15,87370.04,9.56,31.4,0.96,0.98,45,,Проблема
P-001040,2025-08-06 17:41:56,В пути,Газпром бурение,ИП «Дорофеева»,Стройматериалы,Междугородняя,837.16,У161КР77,ГАЗель Next,Цистерна,25.0,VOD-8111,Нинель Алексеевна Кудрявцева,Субподрядчик,"г. Кингисепп, пр. Ольховый, д. 6/9 стр. 625, 186515",Челябинск,Челябинская область,"к. Бирск, ул. Высоцкого, д. 71 к. 1/1, 301283",Сочи,Краснодарский край,2025-07-27 01:23:33,2025-08-01 12:57:06,2025-07-04 20:53:53,-664.05,118060.0,73378.52,44681.48,13.14,43.4,0.53,0.99,78,,Полный пакет
P-001041,2025-07-19 05:42:33,Доставлена,НПО «Лазарева»,"ОАО «Фадеева, Степанова и Комаров»",Стройматериалы,Междугородняя,3064.71,М266УО77,Scania R-series,Бортовой,10.0,VOD-8020,Власова Мария Вадимовна,Субподрядчик,"п. Беслан, пр. Кооперативный, д. 675 стр. 2/9, 040872",Самара,Самарская область,"клх Балашов, бул. Сенной, д. 4 к. 5, 902192",Хабаровск,Хабаровский край,2025-07-27 11:25:29,2025-08-02 12:32:26,2025-07-08 05:12:56,-607.33,439213.2,281960.6,157252.6,7.74,24.18,0.77,0.66,54,,Проблема
P-001042,2025-07-02 05:29:16,Доставлена,ПСМА Рус,"ОАО «Меркушев, Шашкова и Лукин»",ТНП,Междугородняя,2291.1,Х817СА77,Scania R-series,Тент,20.0,VOD-3082,Бирюков Давыд Викентьевич,Собственный парк,"г. Киржач, ул. Щетинкина, д. 2, 205870",Хабаровск,Хабаровский край,"п. Калачинск, ул. Кооперативная, д. 9/9, 191477",Волгоград,Волгоградская область,2025-07-01 11:52:20,2025-08-12 22:46:05,2025-07-23 03:29:42,-499.27,233246.19,206738.09,26508.1,16.94,56.12,0.85,0.87,48,,Проблема
